NUM,STATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
1,ADEL,0.89,0.97,0.93,0.93,0.83,0.66,0.38,0.38,0.48,0.63,1.14,0.96,9.18
2,ALKALI LAKE,0.52,0.46,0.79,0.89,1.14,0.85,0.61,0.66,0.53,0.69,0.67,0.59,8.4
3,ALSEA F H FALL CREEK,14.06,12.38,10.29,6.92,4.28,2.45,0.79,1.17,2.97,6.02,14.51,15.86,91.7
4,ANTELOPE 1 NW,1.64,1.27,1.26,1.11,1.37,1.04,0.43,0.61,0.75,0.95,1.88,1.62,13.93
5,APPLEGATE,3.9,3.55,2.88,1.95,1.18,0.64,0.2,0.43,0.61,1.76,4.15,3.95,25.2
6,ARLINGTON,1.39,0.99,0.76,0.67,0.65,0.35,0.18,0.29,0.43,0.66,1.24,1.44,9.05
7,ASHLAND,2.49,1.92,2.09,1.68,1.55,0.92,0.51,0.61,0.88,1.46,2.85,2.8,19.76
8,ASHWOOD 2 NE,1.67,1.3,1.22,1.21,1.44,0.95,0.48,0.55,0.62,1.03,1.74,1.62,13.83
9,ASTORIA CLATSOP CO AP,9.62,7.87,7.37,4.93,3.28,2.57,1.16,1.21,2.61,5.61,10.5,10.4,67.13
10,AUSTIN 3 S,2.72,2,2.01,1.45,1.66,1.49,0.9,0.96,1,1.12,2.79,3,21.1
11,BAKER,0.91,0.63,0.83,0.86,1.35,1.24,0.69,0.87,0.73,0.57,0.97,0.95,10.6
12,BANDON 2 NNE,9.22,7.76,7.39,4.61,3.16,1.63,0.43,0.9,1.63,3.88,9.13,9.71,59.45
13,BARNES STATION,1.44,1.1,1.24,1.05,1.42,1.04,0.79,0.86,0.68,0.86,1.62,1.62,13.72
14,BEAVERTON 2 SSW,5.83,4.84,4.06,2.79,2.25,1.62,0.68,0.84,1.64,2.92,6.07,6.41,39.95
15,BELKNAP SPRINGS 8 N,11.31,9.61,7.88,5.73,3.99,2.68,1.03,1.13,2.44,5.23,12.19,12.75,75.97
16,BEND,1.76,1.13,0.92,0.7,0.9,0.75,0.62,0.6,0.49,0.62,1.46,1.78,11.73
17,BEULAH,1.37,1.11,1.25,0.91,1.19,0.84,0.42,0.54,0.49,0.67,1.4,1.61,11.8
18,BOARDMAN,1.19,0.91,0.73,0.7,0.63,0.45,0.28,0.31,0.42,0.58,1.22,1.19,8.61
19,BONNEVILLE DAM,11.2,9.83,7.96,6.02,3.96,3.01,1.03,1.35,3.02,5.73,12.09,12.77,77.97
20,BROOKINGS 2 SE,11.28,10.14,9.61,5.72,3.61,1.83,0.51,1.04,1.95,5.22,10.58,11.99,73.48
21,BROTHERS,0.81,0.43,0.7,0.65,1.18,0.81,0.64,0.65,0.54,0.67,1.04,0.96,9.08
22,BUENA VISTA STATION,0.8,0.79,0.83,0.87,1.3,0.88,0.47,0.57,0.62,0.58,1.01,0.94,9.66
23,BUNCOM 1 NNE,3.42,2.68,2.58,1.79,1.39,1,0.43,0.65,0.95,1.67,3.29,3.71,23.56
24,BURNS JUNCTION,0.8,0.84,0.9,0.97,1,0.81,0.46,0.4,0.46,0.47,0.78,0.78,8.67
25,BURNS MUNICIPAL AP,1.18,1.11,1.24,0.85,1.05,0.66,0.4,0.45,0.5,0.72,1.11,1.3,10.57
